id,名称,缩写,层级
110000,北京市,BJS,1
110100,市辖区,SXQ,2
110101,东城区,DCQ,3
110102,西城区,XCQ,3
110105,朝阳区,ZYQ,3
110106,丰台区,FTQ,3
110107,石景山区,SJSQ,3
110108,海淀区,HDQ,3
110109,门头沟区,MTGQ,3
110111,房山区,FSQ,3
110112,通州区,TZQ,3
110113,顺义区,SYQ,3
110114,昌平区,CPQ,3
110115,大兴区,DXQ,3
110116,怀柔区,HRQ,3
110117,平谷区,PGQ,3
110200,县,X,2
110228,密云县,MYX,3
110229,延庆县,YQX,3
120000,天津市,TJS,1
120100,市辖区,SXQ,2
120101,和平区,HPQ,3
120102,河东区,HDQ,3
120103,河西区,HXQ,3
120104,南开区,NKQ,3
120105,河北区,HBQ,3
120106,红桥区,HQQ,3
120110,东丽区,DLQ,3
120111,西青区,XQQ,3
120112,津南区,JNQ,3
120113,北辰区,BCQ,3
120114,武清区,WQQ,3
120115,宝坻区,BCQ,3
120116,滨海新区,BHXQ,3
120117,宁河区,NHQ,3
120118,静海区,JHQ,3
120200,县,X,2
120225,蓟县,JX,3
130000,河北省,HBS,1
130100,石家庄市,SJZS,2
130101,市辖区,SXQ,3
130102,长安区,CAQ,3
130104,桥西区,QXQ,3
130105,新华区,XHQ,3
130107,井陉矿区,JXKQ,3
130108,裕华区,YHQ,3
130109,藁城区,GCQ,3
130110,鹿泉区,LQQ,3
130111,栾城区,LCQ,3
130121,井陉县,JXX,3
130123,正定县,ZDX,3
130125,行唐县,XTX,3
130126,灵寿县,LSX,3
130127,高邑县,GYX,3
130128,深泽县,SZX,3
130129,赞皇县,ZHX,3
130130,无极县,WJX,3
130131,平山县,PSX,3
130132,元氏县,YSX,3
130133,赵县,ZX,3
130183,晋州市,JZS,3
130184,新乐市,XLS,3
130200,唐山市,TSS,2
130201,市辖区,SXQ,3
130202,路南区,LNQ,3
130203,路北区,LBQ,3
130204,古冶区,GYQ,3
130205,开平区,KPQ,3
130207,丰南区,FNQ,3
130208,丰润区,FRQ,3
130209,曹妃甸区,CFDQ,3
130223,滦县,LX,3
130224,滦南县,LNX,3
130225,乐亭县,LTX,3
130227,迁西县,QXX,3
130229,玉田县,YTX,3
130281,遵化市,ZHS,3
130283,迁安市,QAS,3
130300,秦皇岛市,QHDS,2
130301,市辖区,SXQ,3
130302,海港区,HGQ,3
130303,山海关区,SHGQ,3
130304,北戴河区,BDHQ,3
130306,抚宁区,FNQ,3
130321,青龙满族自治县,QLMZZZX,3
130322,昌黎县,CLX,3
130324,卢龙县,LLX,3
130400,邯郸市,HDS,2
130401,市辖区,SXQ,3
130402,邯山区,HSQ,3
130403,丛台区,CTQ,3
130404,复兴区,FXQ,3
130406,峰峰矿区,FFKQ,3
130421,邯郸县,HDX,3
130423,临漳县,LZX,3
130424,成安县,CAX,3
130425,大名县,DMX,3
